Research_group,Site,CA_MPA_Name_Short,MPA_status,LTM_project_short_code ,Latitude,Longitude,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019
RCCA,Point Sur,Point Sur SMR,MPA,LTM_Kelp_SRock,36.288082,-121.892952,,,,,,,,,,X,,X,X,X
RCCA,Andrew Molera,Point Sur SMR,MPA,LTM_Kelp_SRock,36.278454,-121.880859,,,,,,,,,,X,,X,X,X
RCCA,South Wreck,,REF,LTM_Kelp_SRock,36.226425,-121.789062,,,,,,,,,,X,X,X,X,X
RCCA,Fullers,,REF,LTM_Kelp_SRock,36.208107,-121.752167,,,,,,,,,,,X,X,X,X
RCCA,Esalen,,REF,LTM_Kelp_SRock,36.125919,-121.647408,,,,,,,,,,X,X,X,X,X
RCCA,Dolan,Big Creek SMR,MPA,LTM_Kelp_SRock,36.103851,-121.628128,,,,,,,,,,X,X,X,X,X
RCCA,Big Creek,Big Creek SMR,MPA,LTM_Kelp_SRock,36.069183,-121.600601,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Lopez,,REF,LTM_Kelp_SRock,36.03056,-121.580841,,,,,,,,,,X,X,X,X,X
RCCA,Limkiln,,REF,LTM_Kelp_SRock,36.008499,-121.523354,,,,,,,,,,X,,,,
RCCA,Daddy Bob,White Rock SMCA,MPA,LTM_Kelp_SRock,35.537731,-121.096634,,,,,,,,,,X,X,X,X,X
RCCA,White Rocks,White Rock SMCA,MPA,LTM_Kelp_SRock,35.527756,-121.08564,,,,,,,,,,X,X,X,X,X
RCCA,Harmony,,REF,LTM_Kelp_SRock,35.500275,-121.054932,,,,,,,,,,X,X,X,X,X
RCCA,Estero,,REF,LTM_Kelp_SRock,35.471779,-121.021248,,,,,,,,,,X,X,X,X,X
RCCA,Spooners Cove,,REF,LTM_Kelp_SRock,35.277134,-120.892899,,,X,X,,X,X,X,X,X,X,X,X,X
RCCA,Corallina Cove,,REF,LTM_Kelp_SRock,35.266667,-120.901944,,,,,,,,,,,,,X,X
RCCA,Point Buchon,Point Buchon SMR,MPA,LTM_Kelp_SRock,35.237446,-120.900002,,,,,,,X,X,X,X,X,X,X,X
RCCA,Montana De Oro,Point Buchon SMR,MPA,LTM_Kelp_SRock,35.2312,-120.8853,,,,,,,,,,,,X,X,X
RCCA,120 Reef,Abalone Cove SMCA,MPA/REF,LTM_Kelp_SRock,33.737919,-118.392014,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Abalone Cove,Abalone Cove SMCA,MPA/REF,LTM_Kelp_SRock,33.736149,-118.37632,,X,X,X,X,,X,X,X,X,X,X,X,
RCCA,Big Rock,,REF,LTM_Kelp_SRock,34.035168,-118.608086,,X,,X,X,,X,,,,X,X,,
RCCA,Bird Rock,Blue Cavern Onshore SMCA,MPA,LTM_Kelp_SRock,33.450798,-118.487541,,,,,,X,X,,,,,X,X,X
RCCA,Blue Cavern,Blue Cavern Onshore SMCA,MPA,LTM_Kelp_SRock,33.44149,-118.465385,,,,,,,,,,,X,X,X,X
RCCA,Broomtail Reef,,REF,LTM_Kelp_SRock,32.694233,-117.268066,,X,X,X,X,X,X,X,X,X,,X,X,X
RCCA,Bushings,Farnsworth Onshore SMCA,REF,LTM_Kelp_SRock,33.31786,-118.4414,,,,,,,,,,,,X,X,X
RCCA,Casino Point,Casino Point SMCA,MPA,LTM_Kelp_SRock,33.349167,-118.324966,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Cat Harbor,Cat Harbor SMCA,MPA,LTM_Kelp_SRock,33.42608333,-118.5118167,,,,,,,,,,,,X,X,X
RCCA,Cathedral Cove,Anacapa Island SMR,MPA,LTM_Kelp_SRock,34.016499,-119.368385,X,,X,X,X,X,X,X,X,X,,X,X,X
RCCA,Cathedral Wall,Anacapa Island SMR,MPA,LTM_Kelp_SRock,34.015751,-119.371498,,,,X,,X,X,X,X,X,X,X,X,X
RCCA,China Point,Farnsworth Onshore SMCA,MPA,LTM_Kelp_SRock,33.33031667,-118.46975,,,,,,,,,,,,X,X,X
RCCA,Christmas Tree Cove,,REF,LTM_Kelp_SRock,33.760399,-118.421051,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Crystal Cove,Crystal Cove SMCA,MPA/REF,LTM_Kelp_SRock,33.57135,-117.841103,,,X,X,,X,X,,X,X,,X,,X
RCCA,Cueva Valdez,,REF,LTM_Kelp_SRock,34.055,-119.809998,,,X,X,X,X,X,,X,X,,X,,X
RCCA,Divers Cove,Laguna Beach SMR,MPA,LTM_Kelp_SRock,33.543171,-117.796577,,,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,East Point,,REF,LTM_Kelp_SRock,33.943966,-119.964783,,X,X,X,,,X,,X,X,X,X,,
RCCA,Elk Ridge,Skunk Point SMR,MPA,LTM_Kelp_SRock,33.953335,-119.969086,,X,X,,,,X,,X,X,,X,,
RCCA,Frys Anchorage,,REF,LTM_Kelp_SRock,34.054161,-119.755997,,,,,X,X,X,,X,,X,X,X,X
RCCA,Goldfish Bowl,Anacapa Island SMCA,MPA,LTM_Kelp_SRock,34.014729,-119.4375,,,,X,X,X,X,X,X,X,X,X,X,X
RCCA,Hawthorne Reef,,REF,LTM_Kelp_SRock,33.747002,-118.415886,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Heisler Park,Laguna Beach SMR,MPA,LTM_Kelp_SRock,33.542252,-117.794998,,,X,X,,X,X,X,X,X,,,X,X
RCCA,Iron Bound Cove,,REF,LTM_Kelp_SRock,33.4475,-118.57515,,,,,,,,,,,,X,X,X
RCCA,Isthmus Reef,,REF,LTM_Kelp_SRock,33.448318,-118.490601,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,IV Reef,Campus Point SMCA,MPA,LTM_Kelp_SRock,34.403049,-119.866081,X,X,X,X,X,,X,,,X,,,,
RCCA,Johnsons Lee,,REF,LTM_Kelp_SRock,33.90155,-120.103401,,,,X,,,X,,X,X,X,X,,
RCCA,Judith Reserve San Miguel Island,Judith Rock SMR,MPA,LTM_Kelp_SRock,34.023281,-120.440453,,X,,,,,,,,,,,,
RCCA,Kiddie Pool,,REF,LTM_Kelp_SRock,32.845033,-117.285283,,,,,,,,,,,,,X,X
RCCA,La Jolla Cove,Matlahuayl SMR,MPA,LTM_Kelp_SRock,32.852165,-117.269867,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Landing Cove,Anacapa Island SMR,MPA,LTM_Kelp_SRock,34.017467,-119.362396,,,,X,X,,X,X,X,X,X,X,X,X
RCCA,Lechuza,Point Dume SMCA,MPA,LTM_Kelp_SRock,34.034035,-118.871315,,X,X,X,X,,X,X,X,X,,X,,X
RCCA,Leo Carillo North,,REF,LTM_Kelp_SRock,34.043533,-118.944946,X,X,X,X,X,,,X,X,X,,X,,X
RCCA,Light House,,REF,LTM_Kelp_SRock,34.012634,-119.364197,,,X,X,,X,X,X,X,,,X,X,X
RCCA,Lions Head,,REF,LTM_Kelp_SRock,33.451241,-118.502098,,,X,X,X,X,X,,X,X,X,X,X,
RCCA,Little Corona Del Mar,Crystal Cove SMCA,MPA/REF,LTM_Kelp_SRock,33.589802,-117.868698,,X,,X,X,X,X,X,X,X,X,X,X,X
RCCA,Long Point West,Long Point SMR,MPA,LTM_Kelp_SRock,33.410526,-118.378906,,,,,X,,X,,,,X,X,X,X
RCCA,Malaga Cove,,REF,LTM_Kelp_SRock,33.80365,-118.398354,X,X,X,X,X,X,X,X,,X,X,X,X,X
RCCA,Naples Reef,Naples SMCA,MPA,LTM_Kelp_SRock,34.421848,-119.9515,,X,X,X,X,,X,,,,,,,
RCCA,North Hill Street,,REF,LTM_Kelp_SRock,32.728619,-117.264999,,X,X,X,X,X,,,,,X,,X,X
RCCA,Paradise Point,Point Dume SMR,MPA,LTM_Kelp_SRock,34.004128,-118.7929,,,X,X,X,,X,X,,X,X,X,,X
RCCA,Pelican Anchorage,,REF,LTM_Kelp_SRock,34.035648,-119.702499,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Petters Kelp Reef,,,NA,32.816299,-118.360001,,,,,X,,,,,,,,,
RCCA,Point Dume,Point Dume SMR,MPA,LTM_Kelp_SRock,33.99853333,-118.8056333,,,,,,,,,,,,X,X,X
RCCA,Point Vicente East,Point Vicente SMCA,MPA,LTM_Kelp_SRock,33.736,-118.401199,,,,,,,,,,,X,X,X,X
RCCA,Point Vicente West,Point Vicente SMCA,MPA,LTM_Kelp_SRock,33.7397,-118.413696,,,,,,,,,,,X,X,X,X
RCCA,Refugio State Beach,,REF,LTM_Kelp_SRock,34.461056,-120.066872,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Rippers Cove,,REF,LTM_Kelp_SRock,33.42815,-118.435471,,,,,,,,,,,X,X,X,X
RCCA,Salt Creek,Dana Point SMCA,MPA/REF,LTM_Kelp_SRock,33.47715,-117.727364,,,,X,,,X,X,X,X,X,,X,X
RCCA,Salta Roja,Farnsworth Onshore SMCA,MPA,LTM_Kelp_SRock,33.33783333,-118.4761667,,,,,,,,,,,,X,,
RCCA,Salta Verde,,REF,LTM_Kelp_SRock,33.31458333,-118.4215167,,,,,,,,,,,,X,X,X
RCCA,Sandpiper,,REF,LTM_Kelp_SRock,34.417465,-119.896729,,,,,,,X,,,,,,,
RCCA,Sandstone Pt.,,REF,LTM_Kelp_SRock,33.990665,-119.554398,,,X,,,X,X,X,,,,,,
RCCA,Scorpion Anchorage,Scorpion SMR,MPA,LTM_Kelp_SRock,34.048515,-119.552299,,,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Seal Rock North Crescent Bay,Laguna Beach SMR,MPA,LTM_Kelp_SRock,33.545547,-117.803696,,X,X,X,X,X,X,X,X,,X,X,X,X
RCCA,Shaws Cove,Laguna Beach SMR,MPA,LTM_Kelp_SRock,33.543961,-117.799858,,,,,X,X,X,X,X,X,X,X,X,X
RCCA,Ship Rock,,REF,LTM_Kelp_SRock,33.462833,-118.4916,,X,X,X,,,,,,,,X,X,X
RCCA,South La Jolla,South La Jolla SMR,MPA,LTM_Kelp_SRock,32.81345,-117.285767,,,,,,X,X,X,X,X,,X,X,X
RCCA,South Point,South Point SMR,MPA,LTM_Kelp_SRock,33.895,-120.125,,,,,,,,,,X,X,X,,
RCCA,Torqua,,REF,LTM_Kelp_SRock,33.382999,-118.349998,,,X,X,X,X,X,X,,,X,X,X,X
RCCA,Twin Rocks,Long Point SMR,MPA,LTM_Kelp_SRock,33.417648,-118.397797,,,,,,,,,,,X,X,X,X
RCCA,Tyler Bight,,REF,LTM_Kelp_SRock,34.027367,-120.414017,,X,,,,,,,,,,,,
RCCA,White Point,,REF,LTM_Kelp_SRock,33.713509,-118.3181,,,X,X,X,X,X,X,X,,X,X,X,X
RCCA,WIES Intake Pipes,Blue Cavern Onshore SMCA,MPA,LTM_Kelp_SRock,33.446999,-118.484848,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Windansea,,REF,LTM_Kelp_SRock,32.836601,-117.288002,,,,,,X,X,,X,X,,,X,X
RCCA,Wipeout,South La Jolla SMR,MPA,LTM_Kelp_SRock,32.821133,-117.28705,,,,,,,,,,,,,X,X
RCCA,Yellowbanks,,REF,LTM_Kelp_SRock,33.998798,-119.550499,,,X,X,X,X,X,X,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
