Site,Day,Month,Year,SurveyDate,Classcode,Size,Amount,Lat,Lon,Depth_ft,Temp10m
120 Reef,1,8,2010,1-Aug-10,purple urchin,8,1,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,4,3,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,5,6,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,6,13,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,7,24,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,8,36,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,9,16,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,10,17,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,11,7,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,12,6,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,14,1,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,15,1,33.737919,-118.392014,17.5,13
120 Reef,1,8,2010,1-Aug-10,red urchin,16,1,33.737919,-118.392014,17.5,13
120 Reef,17,9,2011,17-Sep-11,purple urchin,2,16,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,purple urchin,3,66,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,purple urchin,4,82,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,purple urchin,5,49,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,purple urchin,6,23,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,purple urchin,7,1,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,2,3,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,3,30,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,4,54,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,5,53,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,6,24,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,7,32,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,8,20,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,9,11,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,10,3,33.737919,-118.392014,25,16
120 Reef,17,9,2011,17-Sep-11,red urchin,11,1,33.737919,-118.392014,25,16
120 Reef,9,6,2012,9-Jun-12,purple urchin,1,1,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,purple urchin,2,32,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,purple urchin,3,95,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,purple urchin,4,95,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,purple urchin,5,56,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,purple urchin,6,13,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,1,1,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,2,4,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,3,26,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,4,37,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,5,46,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,6,50,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,7,39,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,8,40,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,9,8,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,10,5,33.737919,-118.392014,32,17
120 Reef,9,6,2012,9-Jun-12,red urchin,11,1,33.737919,-118.392014,32,17
120 Reef,14,10,2012,14-Oct-12,purple urchin,2,1,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,purple urchin,3,25,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,purple urchin,4,43,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,purple urchin,5,49,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,purple urchin,6,16,33.737919,-118.392014,20,17
120 Reef,14,10,2012,14-Oct-12,purple urchin,7,1,33.737919,-118.392014,20,17
